,% of Annual Energy Cost,Annual ROI after incentives,Cost,Description,Estimated Annual Savings,Life Cycle Savings after Incentive,Payback (Years),Payback after NYSERDA incentive (Years),Potential NYSERDA incentive,SIR after incentive,Total Annual Gallons of Oil Reduced,Total Annual Therms Reduced,Total Annual kWh Reduction,Total kW Reduction,address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
140,1.54%,59.80%,$300 ,Insulate Steam Piping,$179 ,"$1,360 ",,1.7,-,5.5,,156,-,-,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",Bronx,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",2028280037,1009644,248942
141,1.01%,15.30%,$775 ,Replace Old Refrigerators with ENERGY STAR Units,$119 ,$405 ,,6.5,-,1.5,,-,423,-,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",Bronx,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",2028280037,1009644,248942
142,3.49%,-,No Cost.,Unplug Unused Refrigerators/Consolidate Products,$408 ,"$1,867 ",,Immediate,-,-,,-,"1,456",-,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",Bronx,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",2028280037,1009644,248942
143,<1%,70.50%,$75 ,Reduce Building Envelope Infiltration Losses,$53 ,$296 ,,1.4,-,4.9,,46,-,-,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",Bronx,"Energy Assessment For: St. Edmunds Church 1905 Morris Ave., Bronx, NY 10453",2028280037,1009644,248942
144,14.99%,723.40%,$425 ,Optimize Temperature Setpoint Schedule,"$3,075 ","$28,023 ",,0.1,-,66.9,765,-,-,-,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
145,<1%,99.90%,$50 ,Reduce Building Envelope Infiltration Losses,$50 ,$300 ,,1,-,7,12,-,11,-,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
146,4.74%,12.80%,"$7,600 ",Install Interior or Exterior Storm Windows over Sanctuary Stained Glass,$972 ,"$6,866 ",,7.8,-,1.9,228,-,224,-,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
147,<1%,16.00%,$925 ,Implement Lighting Controls,$132 ,$104 ,,6.2,$100 ,1.1,-,-9,606,-,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
148,<1%,34.20%,$120 ,Upgrade the Lighting to LED Lighting,$41 ,$370 ,,2.9,-,4.1,-,-,164,0.2,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
149,25.73%,20.30%,"$26,000 ",Fuel Conversion Oil to Natural Gas,"$5,279 ","$19,031 ",,4.9,-,1.7,-,-,-,-,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",Bronx,"Energy Assessment For: New Tabernacle Baptist Church & Parsonage, 990 E. 181st Street Bronx, NY 10460",2031330021,1017774,246787
150,5.43%,22.50%,"$15,026 ",Upgrade the Lighting to LED Lighting,"$1,670 ","$12,511 ",,4.4,"$7,604 ",2.7,-49,-,"7,206",1.9,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",Bronx,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",2032860071,1013944,253416
151,15.55%,-,Included in ECRO_3.,Optimize Temperature Setpoint Schedule,"$4,786 ","$44,283 ",,Immediate,-,-,"1,773",-,-,-,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",Bronx,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",2032860071,1013944,253416
152,23.38%,11.10%,"$65,000 ",Replace Boilers and Convert to Natural Gas,"$7,196 ","$42,060 ",,9,-,1.6,"6,606","-8,185",-,-,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",Bronx,"Energy Assessment For: Fordham United Methodist Church-Main Building, 2543 Marion Avenue, Bronx, NY 10458",2032860071,1013944,253416
153,0.80%,,$204 ,Install T8 Lighting,$63 ,,3.2,2.5,$46 ,,,,37,0.1,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",Bronx,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",2046930033,1023653,257932
154,0.10%,,$47 ,Install Compact Fluorescent Lighting,$6 ,,7.7,7,$4 ,,,919,,,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",Bronx,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",2046930033,1023653,257932
155,16.80%,,$120 ,Improve Temperature Control,"$1,259 ",,0.1,0.1,,,,,825,0.3,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",Bronx,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",2046930033,1023653,257932
156,1.80%,,"$1,600 ",Install Energy Star Refrigerators,$134 ,,11.9,11.9,,,,,"5,922",3.3,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",Bronx,"1015 East Gun Hill Road Bronx, NY 10469, 718-231-8408",2046930033,1023653,257932
157,4.80%,,"$5,445 ",Install LED Lighting,"$2,364 ",,2.3,1.6,"$1,707 ",,,,665,,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",Bronx,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",2033100064,1015492,257543
158,2.10%,,"$1,397 ",Install Compact Fluorescent Lighting,"$1,029 ",,1.4,0.7,$711 ,,,"7,450","16,821",,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",Bronx,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",2033100064,1015492,257543
159,0.20%,,$310 ,Install Lighting Controls,$81 ,,3.8,2.8,$80 ,,,"1,724","22,859",33.6,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",Bronx,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",2033100064,1015492,257543
160,24.70%,,,Improve Temperature Control,"$12,254 ",,Immediately.,Immediately.,,,"1,272",,,,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",Bronx,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",2033100064,1015492,257543
161,13.80%,,"$180,000 ",Upgrade the HVAC,"$6,810 ",,26.4,26,"$2,743 ",,31,,,,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",Bronx,"3025 Grand Concourse, Bronx, NY 10468, 718-733-3200",2033100064,1015492,257543
162,0.90%,,$398 ,Install Compact Fluorescent Lighting,$204 ,,1.9,1.5,$91 ,,,,730,1.1,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",Bronx,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",2030690069,1014271,248614
163,24.50%,,$120 ,Improve Temperature Control,"$5,347 ",,0,0,,,,,544,,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",Bronx,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",2030690069,1014271,248614
164,0.60%,,$120 ,Install Pipe/Tank Insulation,$128 ,,0.9,0.9,,,,140,750,,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",Bronx,"2084 Arthur Ave, Bronx, NY 10457, 201-678-9214",2030690069,1014271,248614
165,5.00%,,$933 ,Install T8 Lighting,$313 ,,3,2.1,$284 ,,,,"5,611",,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",Bronx,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",2030450036,1013396,249096
166,1.50%,,$480 ,Install LED Lighting,$97 ,,5,4.1,$88 ,,,,"29,330",14.2,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",Bronx,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",2030450036,1013396,249096
167,1.20%,,$68 ,Modify the Domestic Hot Water System,$72 ,,0.9,0.9,,,,,144,,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",Bronx,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",2030450036,1013396,249096
168,5.10%,,$963 ,Maintain The HVAC Equipment,$321 ,,3,3,,,,,37,0,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",Bronx,"Divine Favor Assembly of God 4367 Third Avenue, Bronx, NY 10457, 347-272-6323",2030450036,1013396,249096
169,0.30%,,$182 ,Install LED Lighting,$43 ,,4.3,3.7,$23 ,,,,832,,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",Bronx,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",,1011946,250847
170,8.30%,,,Improve the Building Envelope,"$1,234 ",,Immediately.,Immediately.,,,,,"4,500",,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",Bronx,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",,1011946,250847
171,43.90%,,"$47,500 ",Upgrade the HVAC,"$6,528 ",,7.3,6.7,"$3,520 ",,,,"1,600",,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",Bronx,"2206 Ryer Avenue, Bronx, NY 10457, 718-367-1251",,1011946,250847
,17.98%,,$550 ,Optimize Temperature Setpoint Schedule,"$1,620 ","$13,267 ",0.3,0.3,,25.1,410,,"1,464",,"1384 Stratford Ave, Bronx, NY 10472",Bronx,"1384 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,1.36%,,$50 ,Upgrade the lighting to CFL Lighting,$122 ,$509 ,0.4,0.4,,11.2,0,,478,0.2,"1385 Stratford Ave, Bronx, NY 10472",Bronx,"1385 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,<1%,,$400 ,Replace Old Refrigerators with ENERGY STAR Units,$28 ,$61 ,14.1,14.1,,0.8,,,247,,"1386 Stratford Ave, Bronx, NY 10472",Bronx,"1386 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,1.81%,,$120 ,Insulate Steam Piping,$163 ,"$2,308 ",0.7,0.7,,20.2,46,,,,"1387 Stratford Ave, Bronx, NY 10472",Bronx,"1387 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,<1%,,$120 ,Insulate DHW Piping,$14 ,$86 ,8.7,8.7,,1.7,,3,,,"1388 Stratford Ave, Bronx, NY 10472",Bronx,"1388 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,26.23%,,"$15,000 ",Fuel Conversion Oil to Natural Gas,"$2,363 ","$5,160 ",6.3,6.3,,1.3,,,,,"1389 Stratford Ave, Bronx, NY 10472",Bronx,"1389 Stratford Ave, Bronx, NY 10472",2038670036,1018505,242971
,0.18%,,$780,Install T8 Lighting,$106,$120,7.4,7.0,$43,,,,362,0.2,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10457",Bronx,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10457",2030340028,1012525,248291
,0.09%,,$59,Install LED Lighting,$55,$765,1.1,0.3,$44,,,,369,0.0,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10458",Bronx,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10458",2030340028,1012525,248291
,1.52%,,"$2,450",Upgrade the HVAC,$889,"$5,133",2.8,2.8,,,,,"4,373",3.4,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10459",Bronx,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10459",2030340028,1012525,248291
,9.72%,,"$3,775",Install an Energy Management System,"$5,696","$44,813",0.7,0.7,,,,"3,132","11,266",,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10460",Bronx,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10460",2030340028,1012525,248291
,0.40%,,$970,Insulate DHW and Hydronic Piping in the Boiler Room,$232,"$2,489",4.2,4.2,,,,166,,,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10461",Bronx,"Tremont United Methodist Church, 1951 Washington Ave, Bronx, NY 10461",2030340028,1012525,248291
